file,plain_name,use,job_ids,profiles,quantity_by_job,selections,canonical_path,sha256
phone_width_fit_test.stl,Phone Width Fit Test,PRINT_VIA_READY_JOB_ONLY,00B,abs_rapido_cradle_0p4,00B:1,required,stl/phone_width_fit_test.stl,1091a6d591259a4a22b6d9fd7b36d4a8264807ef5c169fe3c5b1019a16420cfa
rod_bushing_6_to_9mm.stl,Rod Bushing 6 To 9mm,PRINT_VIA_READY_JOB_ONLY,04C,petg_adapter_0p4,04C:2,keyboard_rod_route,stl/rod_bushing_6_to_9mm.stl,c30bee2a303f025e94b21e1cf2c5639babbf5d75d3bb008711ea86b5e8160d63
setup_hardware_fit_gauge.stl,Setup Hardware Fit Gauge,PRINT_VIA_READY_JOB_ONLY,00E,abs_rapido_general_0p4,00E:1,required,stl/setup_hardware_fit_gauge.stl,e6394a26fe104fb2af1b05df14865a5be2908bf6e99fab79c93aa034a2dc57b4
spring_fit_gauge.stl,Spring Fit Gauge,PRINT_VIA_READY_JOB_ONLY,00C,abs_rapido_precision_0p4,00C:1,required,stl/spring_fit_gauge.stl,0b8464e8506bea26cc8972ce32fcfc4e7366c800eac4ee23e6fcd16677672f4c
station_locator_fit_gauge.stl,Station Locator Fit Gauge,PRINT_VIA_READY_JOB_ONLY,00A; 00B,abs_rapido_tray_structural_0p4; abs_rapido_cradle_0p4,00A:1; 00B:1,required,stl/station_locator_fit_gauge.stl,7b34ff9a05495ce702310171cd27c5201e0c1ee54fede8c9cdbeea7260d3d1d5
stylus_collar_9mm.stl,Stylus Collar 9mm,PRINT_VIA_READY_JOB_ONLY,04B,petg_adapter_0p4,04B:2,phone_stylus_route,stl/stylus_collar_9mm.stl,abc908bcd256e8836d13c94cf58320654f78d972e0eb1923f50a6575233f2c8e
stylus_diameter_gauge.stl,Stylus Diameter Gauge,PRINT_VIA_READY_JOB_ONLY,00D,petg_adapter_0p4,00D:1,phone_stylus_route,stl/stylus_diameter_gauge.stl,556c8114547de14b36d8990444de96f3229f99c93f6d06fb62216880c6f72c77
tag_application_frame_55mm.stl,Tag Application Frame 55mm,PRINT_VIA_READY_JOB_ONLY,03C2,abs_rapido_general_0p4,03C2:1,required,stl/tag_application_frame_55mm.stl,492f7e3c567a7aa3a4bc255d59425f73dc0c64ab240df8af8f9adf861d53a10f
tool_m3_insert_fit_gauge.stl,Tool M3 Insert Fit Gauge,PRINT_VIA_READY_JOB_ONLY,00C,abs_rapido_precision_0p4,00C:1,required,stl/tool_m3_insert_fit_gauge.stl,8ff0775cb466170e0749bf125b4b2743f134df072f75ac17090d61854fbc7d8d
tpu_tip_retention_gauge.stl,TPU Tip Retention Gauge,PRINT_VIA_READY_JOB_ONLY,00E,abs_rapido_general_0p4,00E:1,required,stl/tpu_tip_retention_gauge.stl,0476c9c867a9f28816c5df107f8bcff9e44b7e1ba79e8927501a8d1c6d32b777
