file,plain_name,use,job_ids,profiles,quantity_by_job,selections,canonical_path,sha256
camera_plate_universal.stl,Camera Plate Universal,TRACEABILITY_ONLY_DO_NOT_PRINT,03C3,petg_general_0p4,03C3:1,camera_mast_optional,stl/camera_plate_universal.stl,7fb63205ddc37b517ee452eda352893c7912cebe74086d977ef0beb8ec2d006f
hardware_fit_gauge.stl,Hardware Fit Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00E,abs_rapido_general_0p4,00E:1,required,stl/hardware_fit_gauge.stl,4a9a35b618a420931b7e8b6b717aee4a3eb68f8948fff04e5a69fd65266e9e42
m5_nut_trap_fit_gauge.stl,M5 Nut Trap Fit Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,06,asa_structural_0p4,06:1,camera_mast_optional,stl/m5_nut_trap_fit_gauge.stl,a6a8dd06689060766bb31f7eca10e6910fb3313a758af185bcbcdfde3c40a01e
mast_foot_2020.stl,Mast Foot 2020,TRACEABILITY_ONLY_DO_NOT_PRINT,07A; 07B,asa_structural_0p4,07A:1; 07B:1,camera_mast_optional,stl/mast_foot_2020.stl,2b6384b63a5b191ef88ae5590b50ffb5cd0c64d2102b3145b8336b2fb901faa5
mast_socket_fit_test.stl,Mast Socket Fit Test,TRACEABILITY_ONLY_DO_NOT_PRINT,06,asa_structural_0p4,06:1,camera_mast_optional,stl/mast_socket_fit_test.stl,3a8e939ae308baa04fda3891dfc8851a0a3b2caa9e2a91148414255e1114905b
setup_hardware_fit_gauge.stl,Setup Hardware Fit Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00E,abs_rapido_general_0p4,00E:1,required,stl/setup_hardware_fit_gauge.stl,e6394a26fe104fb2af1b05df14865a5be2908bf6e99fab79c93aa034a2dc57b4
tpu_tip_retention_gauge.stl,TPU Tip Retention Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00E,abs_rapido_general_0p4,00E:1,required,stl/tpu_tip_retention_gauge.stl,0476c9c867a9f28816c5df107f8bcff9e44b7e1ba79e8927501a8d1c6d32b777
